NomeDoMunicipio, SituacaoUrbana, SituacaoRural, DensidadeMoradorPorComodo[0.0-0.5], DensidadeMoradorPorComodo[0.5-1.0], DensidadeMoradorPorComodo[1.0-2.0], DensidadeMoradorPorComodo[2.0-+], DensidadeMoradorPorDormitorio[1], DensidadeMoradorPorDormitorio[1-2], DensidadeMoradorPorDormitorio[2-3], DensidadeMoradorPorDormitorio[3+], MoradiaAdequada, MoradiaSemiAdequada, MoradiaInadequada
Cosmópolis,16615,1165,7817,8289,1605,68,5267,9062,2478,972,13442,4337,0
Cosmorama,1757,810,1743,768,55,0,1275,1132,135,24,1649,910,7
Cotia,58970,0,24563,26774,6856,777,15628,28988,9320,5034,35050,23843,77
Cravinhos,8971,241,4464,4060,651,38,2944,4716,1018,534,7443,1746,24
CristaisPaulista,1703,640,1219,997,127,0,843,1182,238,79,1411,907,26
Cruzália,532,247,473,288,19,0,368,372,34,6,503,269,7
Cruzeiro,22527,590,11578,9585,1811,142,7982,11170,2722,1243,18188,4875,54
Cubatão,36407,0,14050,18374,3568,415,10574,17302,5958,2572,18405,17950,52
Cunha,3942,3076,3592,3031,395,0,2693,3443,680,202,3056,3745,217
Descalvado,8612,935,5230,3870,428,19,2845,5327,1033,341,7369,2117,61
Diadema,117368,0,38076,61744,16176,1371,27270,55565,22055,12478,81028,36306,33
DirceReis,456,133,345,238,6,0,230,316,35,7,431,152,6
Divinolândia,2479,1100,1946,1459,171,3,1522,1739,252,66,2033,1497,50
Dobrada,2382,47,1002,1134,269,24,756,1112,370,192,1815,602,13
DoisCórregos,7243,389,3908,3052,617,54,2756,3598,993,285,5957,1603,73
Dolcinópolis,685,45,455,253,22,0,352,332,38,8,639,91,0
Dourado,2602,236,1485,1230,122,0,1227,1305,228,78,2329,499,9
Dracena,13535,731,9051,4894,321,0,5439,7584,1030,213,12120,2117,29
Duartina,3610,416,2290,1545,191,0,1769,1866,280,111,3244,762,19
Dumont,2297,88,1014,1156,205,9,682,1252,343,108,1839,541,5
Echaporã,1615,403,1142,780,87,10,837,971,161,50,1432,570,17
Eldorado,2203,2044,1793,1902,505,47,1381,1860,700,306,1651,2385,211
EliasFausto,3597,819,1603,2228,536,49,1110,2497,568,241,2829,1566,22
Elisiário,910,84,471,461,62,0,337,513,104,41,763,231,0
Embaúba,689,113,481,298,23,0,291,445,51,15,614,186,2
EmbudasArtes,68156,0,20014,35428,11731,983,14263,31772,13668,8453,36913,31238,5
Embu-Guaçu,17585,506,6614,8767,2556,156,4542,8250,3528,1772,6469,11485,138
Emilianópolis,853,161,553,434,25,1,427,526,49,12,797,207,10
EngenheiroCoelho,3322,1330,1652,2246,692,62,1006,2346,884,416,2361,2250,41
EspíritoSantodoPinhal,11696,1296,6822,5317,832,22,5170,6174,1302,347,10186,2728,77
EspíritoSantodoTurvo,1121,189,551,664,93,1,441,672,156,41,928,380,2
EstivaGerbi,2362,552,1253,1434,224,3,887,1596,326,105,2177,721,17
EstreladoNorte,619,178,405,352,38,2,305,392,89,12,521,269,6
Estrelad'Oeste,2282,448,1705,969,51,5,1135,1359,205,30,2066,636,28
EuclidesdaCunhaPaulista,1956,1018,1402,1387,171,15,907,1654,351,62,1629,1203,141
Fartura,3928,969,2651,1978,263,5,1996,2459,370,71,3598,1280,19
FernandoPrestes,1598,256,1170,626,59,0,855,863,114,23,1471,367,16
Fernandópolis,21145,678,13421,7741,631,30,9212,11067,1293,251,19227,2596,0
Fernão,280,234,268,222,25,0,206,256,38,14,247,267,0
FerrazdeVasconcelos,46340,2028,14050,25234,8402,682,9524,22701,10025,6118,28140,20160,68
FloraRica,510,112,394,218,10,1,300,286,35,1,470,153,0
Floreal,891,192,735,333,15,0,383,625,64,11,836,239,9
FlóridaPaulista,3371,474,2145,1587,109,5,1209,2266,291,79,3109,710,26
Florínia,842,101,533,379,29,1,408,456,58,20,746,189,8
Franca,96070,1650,49814,41906,5791,210,35521,49246,9987,2966,83023,14688,9
FranciscoMorato,43839,80,12250,22217,8440,1012,8616,18711,9955,6637,16313,27552,55
FrancodaRocha,35439,802,11538,18135,5926,642,8241,16337,7187,4476,18629,17497,114
GabrielMonteiro,791,137,633,286,9,0,228,660,37,3,750,177,2
